category,brand,model,variant,width_cm,length_cm,height_cm,weight_kg,fragile,package_type,hazard_class,extra_package,extra_width_cm,extra_length_cm,extra_price_usd,extra_type,product_id,customer_id,basket_id,quantity,is_2d_only,height_cm_filled,volume_cm3,volume_to_weight_ratio,fragile_flag,requires_special_handling,extra_volume_cm3,shape_flag
Home Decor,HomeArt,Glass Vase Medium,,25.2,29.4,"16,9",1.442,True,rigid_box,Aerosol-2,True,27.7,33.7,"18,86",stretch_film,11,1466,2054,2,False,16.9,12520.872,8682.990291262136,True,True,15775.980999999998,rigid_box
Cosmetics,Lumine,Vitamin C Serum 30ml,,9.9,11.1,"7,6",0.273,True,kraft_envelope,,True,11.9,14.6,"8,05",bubble_wrap,12,1214,2063,1,False,7.6,835.164,3059.208791208791,True,True,1320.424,kraft_envelope
Book,Classic,Les Miserables,,26.0,19.6,"2,3",1.202,True,cardboard_box,Compressed_Gas-2,True,29.9,21.9,"15,99",stretch_film,13,1330,2069,2,False,2.3,1172.08,975.1081530782029,True,True,1506.0629999999996,cardboard_box
Cosmetics,Lumine,Day Cream 50ml,,16.9,12.7,"7,9",0.374,False,glass_jar,Flammable_Liquid-3,False,0.0,0.0,,,14,1458,2075,1,False,7.9,1695.5769999999998,4533.628342245988,False,True,0.0,glass_jar
Appliance,Philips,Kettle,,35.3,31.2,"10,4",1.686,False,kraft_envelope,UN3481-Lithium_Ion_Battery,True,38.6,34.9,"25,76",foam_protector,15,1087,2082,1,False,10.4,11454.144,6793.679715302492,False,True,14010.256000000001,kraft_envelope
Appliance,Philips,Air Fryer XL,,34.9,26.6,"8,2",1.154,False,metal_box,Flammable_Liquid-3,False,0.0,0.0,,,16,1372,2084,2,False,8.2,7612.388,6596.523396880416,False,True,0.0,metal_box
Shoes,Adidas,Runfalcon, Grey 39,31.7,23.4,"12,4",1.244,False,poly_bag,Corrosive-8,True,34.4,26.9,"19,73",foam_protector,17,1099,2092,2,False,12.4,9198.072,7393.948553054663,False,True,11474.464,poly_bag
Appliance,Philips,Air Fryer XL,,43.8,28.1,"11,3",1.868,False,glass_jar,Compressed_Gas-2,True,47.5,31.7,"28,48",air_cushion,18,1359,2094,3,False,11.3,13907.814,7445.296573875803,False,True,17014.975000000002,glass_jar
Book,Classic,Madonna in a Fur Coat,,21.4,18.9,"2,7",1.012,False,cardboard_box,Flammable_Liquid-3,False,0.0,0.0,,,19,1151,2102,3,False,2.7,1092.042,1079.092885375494,False,True,0.0,cardboard_box
Cosmetics,Lumine,Night Cream 50ml,,14.0,12.4,"9,6",0.235,False,plastic_box,Compressed_Gas-2,True,16.0,16.1,"9,26",bubble_wrap,20,1130,2110,3,False,9.6,1666.56,7091.744680851064,False,True,2472.96,plastic_box
Food Jar,Anadolu,Pine Honey 1kg,,12.3,12.7,"17,2",1.174,False,rigid_box,Corrosive-8,True,14.9,14.0,"8,48",double_carton,21,1149,2114,3,False,17.2,2686.812,2288.596252129472,False,True,3587.9199999999996,rigid_box
Shoes,Adidas,Runfalcon, White 37,28.5,19.4,"13,0",0.958,False,metal_box,Flammable_Liquid-3,True,30.6,21.4,"14,87",corner_guard,22,1308,2122,3,False,13.0,7187.7,7502.8183716075155,False,True,8512.92,metal_box
Laptop,Dell,Vostro 15, 256GB Silver,41.0,22.7,"2,7",1.497,True,metal_box,Aerosol-2,True,43.2,26.2,"21,78",corner_guard,23,1257,2123,2,False,2.7,2512.89,1678.6172344689376,True,True,3055.9680000000008,metal_box
Book,Classic,Les Miserables,,22.1,18.6,"3,6",0.63,False,glass_jar,Flammable_Liquid-3,False,0.0,0.0,,,24,1343,2129,3,False,3.6,1479.8160000000003,2348.914285714286,False,True,0.0,glass_jar
Home Decor,HomeArt,Glass Vase Medium,,23.1,26.1,"15,1",0.753,False,poly_bag,Aerosol-2,False,0.0,0.0,,,25,1491,2136,2,False,15.1,9103.941,12090.227091633467,False,True,0.0,poly_bag
Shoes,Nike,Air Zoom Pegasus, Grey,28.7,18.8,"11,4",1.004,False,plastic_box,Flammable_Liquid-3,True,31.1,22.4,"15,7",corner_guard,26,1413,2145,3,False,11.4,6150.984000000001,6126.478087649403,False,True,7941.696,plastic_box
Cosmetics,Lumine,Day Cream 50ml,,12.0,11.4,"8,9",0.31,False,plastic_box,Flammable_Liquid-3,False,0.0,0.0,,,27,1293,2155,1,False,8.9,1217.5200000000002,3927.483870967743,False,True,0.0,plastic_box
Textile,SoftWear,Jeans 32x32, Red,26.1,19.9,"7,0",0.581,False,glass_jar,UN3481-Lithium_Ion_Battery,True,30.0,21.7,"14,77",corner_guard,28,1385,2158,3,False,7.0,3635.73,6257.710843373495,False,True,4557.0,glass_jar
Phone,Samsung,Galaxy S24,,17.9,9.7,"2,2",0.507,False,kraft_envelope,Compressed_Gas-2,False,0.0,0.0,,,29,1191,2170,1,False,2.2,381.98599999999993,753.4240631163707,False,True,0.0,kraft_envelope
Book,Classic,Les Miserables,,20.9,17.1,"3,4",0.65,False,poly_bag,Corrosive-8,True,23.2,20.0,"11,46",bubble_wrap,30,1443,2176,2,False,3.4,1215.126,1869.4246153846152,False,True,1577.6,poly_bag
Textile,SoftWear,Basic T-Shirt M,,23.8,20.3,"4,2",0.521,False,glass_jar,,False,0.0,0.0,,,31,1276,2182,3,False,4.2,2029.1880000000003,3894.79462571977,False,False,0.0,glass_jar
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,11.1,13.3,"12,9",0.425,False,cardboard_box,Compressed_Gas-2,False,0.0,0.0,,,32,1160,2189,2,False,12.9,1904.427,4481.004705882353,False,True,0.0,cardboard_box
Shoes,Adidas,Superstar,,30.0,21.2,"13,5",1.268,False,metal_box,,False,0.0,0.0,,,33,1459,2195,3,False,13.5,8586.0,6771.293375394322,False,False,0.0,metal_box
Shoes,Nike,Court Vision, Navy 37,35.2,21.6,"11,9",1.64,False,metal_box,Aerosol-2,False,0.0,0.0,,,34,1313,2202,2,False,11.9,9047.808000000003,5516.9560975609775,False,True,0.0,metal_box
Shoes,Nike,Air Zoom Pegasus, Grey,32.6,20.7,"11,4",0.988,False,plastic_box,Flammable_Liquid-3,False,0.0,0.0,,,35,1021,2212,3,False,11.4,7692.948000000001,7786.384615384617,False,True,0.0,plastic_box
Laptop,Dell,Vostro 15,,40.6,20.2,"2,8",1.561,True,metal_box,Aerosol-2,False,0.0,0.0,,,36,1252,2217,3,False,2.8,2296.336,1471.067264573991,True,True,0.0,metal_box
Appliance,Philips,Air Fryer XL,,38.7,23.6,"9,5",2.128,False,cardboard_box,Compressed_Gas-2,True,42.1,25.6,"20,86",double_carton,37,1235,2223,1,False,9.5,8676.54,4077.321428571429,False,True,10238.72,cardboard_box
Shoes,Nike,Court Vision, White,31.1,22.0,"10,9",0.813,False,glass_jar,Corrosive-8,False,0.0,0.0,,,38,1344,2229,2,False,10.9,7457.780000000001,9173.161131611318,False,True,0.0,glass_jar
Food Jar,Anadolu,Hazelnut Paste 320g,,11.3,10.1,"17,8",0.956,False,glass_jar,Corrosive-8,True,15.6,11.8,"9,76",double_carton,39,1048,2235,2,False,17.8,2031.5140000000004,2125.014644351465,False,True,3276.6240000000003,glass_jar
Food Jar,Anadolu,Hazelnut Paste 320g,,11.1,12.4,"18,4",1.046,False,metal_box,Flammable_Liquid-3,False,0.0,0.0,,,40,1474,2240,2,False,18.4,2532.5759999999996,2421.2007648183553,False,True,0.0,metal_box
Shoes,Nike,Court Vision, Grey 42,32.8,21.1,"11,7",1.244,False,plastic_box,UN3481-Lithium_Ion_Battery,True,36.1,24.2,"18,44",bubble_wrap,41,1058,2248,2,False,11.7,8097.336,6509.112540192927,False,True,10221.354,plastic_box
Cosmetics,Lumine,Day Cream 50ml,,9.9,11.4,"10,2",0.418,True,metal_box,UN3481-Lithium_Ion_Battery,True,13.1,14.7,"7,52",bubble_wrap,42,1169,2255,2,False,10.2,1151.172,2754.0,True,True,1964.2139999999997,metal_box
Textile,SoftWear,Jeans 32x32, 38,27.8,22.2,"8,9",0.956,False,metal_box,Corrosive-8,False,0.0,0.0,,,43,1475,2258,1,False,8.9,5492.724,5745.52719665272,False,True,0.0,metal_box
Phone,Samsung,Galaxy S22, 512GB Starlight,16.6,8.3,"5,7",0.211,False,cardboard_box,Flammable_Liquid-3,True,19.1,10.6,"8,22",corner_guard,44,1187,2267,3,False,5.7,785.3460000000002,3722.018957345973,False,True,1154.0220000000002,cardboard_box
Appliance,Philips,Kettle,,29.7,27.8,"6,9",1.787,False,kraft_envelope,Flammable_Liquid-3,True,32.3,29.9,"19,98",double_carton,45,1463,2278,1,False,6.9,5697.054,3188.0548405148297,False,True,6663.812999999999,kraft_envelope
Phone,Samsung,Galaxy S24,,17.8,11.8,"5,8",0.315,False,kraft_envelope,Flammable_Liquid-3,True,19.7,15.5,"9,44",stretch_film,46,1270,2019,2,False,5.8,1218.232,3867.4031746031746,False,True,1771.0299999999997,kraft_envelope
Food Jar,Anadolu,Flower Honey 850g,,9.9,12.3,"15,0",1.304,False,plastic_box,Corrosive-8,True,13.5,15.4,"8,37",bubble_wrap,47,1189,2289,2,False,15.0,1826.5500000000002,1400.7285276073621,False,True,3118.5,plastic_box
Shoes,Nike,Court Vision, White,28.1,21.6,"10,7",0.955,False,cardboard_box,Aerosol-2,False,0.0,0.0,,,48,1445,2291,3,False,10.7,6494.472,6800.494240837696,False,True,0.0,cardboard_box
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,14.1,9.9,"9,3",0.457,False,cardboard_box,Aerosol-2,False,0.0,0.0,,,49,1174,2298,1,False,9.3,1298.1870000000001,2840.671772428884,False,True,0.0,cardboard_box
Phone,Apple,iPhone 15 Plus, 256GB Black,17.0,9.0,"3,7",0.337,False,glass_jar,,False,0.0,0.0,,,50,1445,2292,3,False,3.7,566.1,1679.8219584569733,False,False,0.0,glass_jar
Appliance,Philips,Handheld Vacuum,,37.3,28.7,"9,3",2.107,False,poly_bag,Flammable_Liquid-3,True,40.7,32.0,"24,52",bubble_wrap,51,1050,2307,3,False,9.3,9955.743,4725.079734219269,False,True,12112.320000000002,poly_bag
Textile,SoftWear,Hoodie L, Navy 37,26.4,26.1,"6,7",0.405,False,kraft_envelope,Compressed_Gas-2,True,30.1,28.7,"17,46",corner_guard,52,1363,2320,1,False,6.7,4616.568,11398.933333333332,False,True,5787.929,kraft_envelope
Toy,ToyLand,Remote Control Car,,30.8,15.2,"15,7",1.335,False,plastic_box,Flammable_Liquid-3,True,34.3,17.7,"14,14",bubble_wrap,53,1054,2327,3,False,15.7,7350.111999999999,5505.701872659176,False,True,9531.626999999999,plastic_box
Book,Classic,Crime and Punishment,,22.7,14.7,"2,7",0.513,False,rigid_box,Compressed_Gas-2,False,0.0,0.0,,,54,1243,2331,1,False,2.7,900.9630000000001,1756.2631578947369,False,True,0.0,rigid_box
Laptop,Dell,Inspiron 14, 512GB Silver,28.8,25.2,"3,0",1.03,False,glass_jar,UN3481-Lithium_Ion_Battery,True,32.2,27.1,"17,59",double_carton,55,1319,2334,1,False,3.0,2177.2799999999997,2113.8640776699026,False,True,2617.8600000000006,glass_jar
Textile,SoftWear,Jeans 32x32, 37,35.1,25.2,"7,0",0.521,False,plastic_box,UN3481-Lithium_Ion_Battery,True,38.6,26.2,"19,67",stretch_film,56,1130,2112,2,False,7.0,6191.639999999999,11884.145873320536,False,True,7079.240000000001,plastic_box
Laptop,Lenovo,Yoga Slim 7,,32.8,29.2,"2,8",1.555,False,poly_bag,Aerosol-2,True,34.7,33.1,"22,91",double_carton,57,1484,2341,3,False,2.8,2681.7279999999996,1724.5839228295818,False,True,3215.996,poly_bag
Textile,SoftWear,Basic T-Shirt M, White,33.2,20.8,"5,8",0.611,False,poly_bag,Compressed_Gas-2,False,0.0,0.0,,,58,1306,2348,2,False,5.8,4005.248,6555.234042553192,False,True,0.0,poly_bag
Shoes,Nike,Revolution, 42,31.4,22.7,"13,9",1.46,False,plastic_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,59,1134,2352,3,False,13.9,9907.642,6786.056164383562,False,True,0.0,plastic_box
Laptop,Lenovo,ThinkBook 14,,39.4,21.8,"2,9",1.772,True,poly_bag,Compressed_Gas-2,True,42.3,22.8,"19,06",air_cushion,60,1020,2042,3,False,2.9,2490.868,1405.6817155756207,True,True,2796.8759999999997,poly_bag
Laptop,Dell,XPS 13,,35.5,28.2,"4,4",1.142,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,39.0,30.5,"23,1",bubble_wrap,61,1328,2358,2,False,4.4,4404.84,3857.1278458844135,False,True,5233.8,cardboard_box
Toy,ToyLand,Remote Control Car,,34.6,22.1,"18,3",0.564,False,plastic_box,,True,37.2,26.7,"19,4",double_carton,62,1166,2361,2,False,18.3,13993.278000000002,24810.776595744686,False,True,18176.292,plastic_box
Phone,Samsung,Galaxy S23,,13.8,9.6,"4,7",0.206,True,plastic_box,UN3481-Lithium_Ion_Battery,True,16.9,11.7,"7,56",air_cushion,63,1273,2364,2,False,4.7,622.656,3022.6019417475727,True,True,929.3309999999999,plastic_box
Laptop,Lenovo,Yoga Slim 7, 128GB Midnight,37.6,24.2,"2,6",1.752,True,plastic_box,Compressed_Gas-2,True,39.3,25.2,"20,09",air_cushion,64,1387,2371,1,False,2.6,2365.792,1350.3378995433789,True,True,2574.9359999999997,plastic_box
Shoes,Nike,Downshifter,,31.8,23.3,"12,3",0.903,False,plastic_box,,False,0.0,0.0,,,65,1088,2372,3,False,12.3,9113.562000000002,10092.538205980069,False,False,0.0,plastic_box
Shoes,Nike,InfinityRN, Navy,27.6,21.3,"11,8",0.986,False,rigid_box,Aerosol-2,False,0.0,0.0,,,66,1315,2378,1,False,11.8,6936.984,7035.480730223124,False,True,0.0,rigid_box
Shoes,Nike,Court Vision, Red,29.8,22.4,"12,4",1.452,False,metal_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,67,1013,2384,3,False,12.4,8277.248,5700.584022038567,False,True,0.0,metal_box
Laptop,Dell,XPS 13,,42.1,18.8,"3,2",1.668,False,plastic_box,,False,0.0,0.0,,,68,1241,2392,3,False,3.2,2532.7360000000003,1518.4268585131897,False,False,0.0,plastic_box
Shoes,Nike,Court Vision, 38,29.9,20.1,"12,8",1.056,False,kraft_envelope,UN3481-Lithium_Ion_Battery,True,32.0,24.8,"17,43",corner_guard,69,1264,2398,1,False,12.8,7692.6720000000005,7284.727272727273,False,True,10158.080000000002,kraft_envelope
Textile,SoftWear,Jeans 32x32, Navy 36,21.8,27.4,"5,0",0.586,True,metal_box,Compressed_Gas-2,True,24.0,29.8,"15,49",bubble_wrap,70,1345,2403,1,False,5.0,2986.5999999999995,5096.587030716723,True,True,3576.0,metal_box
Toy,ToyLand,Remote Control Car,,29.3,14.0,"19,4",0.88,False,poly_bag,Corrosive-8,False,0.0,0.0,,,71,1052,2408,3,False,19.4,7957.879999999999,9043.045454545454,False,True,0.0,poly_bag
Shoes,Nike,InfinityRN, Black,29.2,23.6,"13,7",1.161,False,kraft_envelope,Flammable_Liquid-3,True,32.9,27.4,"19,28",double_carton,72,1385,2159,2,False,13.7,9440.944,8131.734711455641,False,True,12350.001999999999,kraft_envelope
Phone,Samsung,Galaxy S22, 256GB Graphite,12.6,9.9,"5,7",0.426,False,poly_bag,Flammable_Liquid-3,False,0.0,0.0,,,73,1339,2412,2,False,5.7,711.018,1669.0563380281692,False,True,0.0,poly_bag
Textile,SoftWear,Hoodie L, Navy 41,27.4,22.3,"5,3",0.401,False,glass_jar,Aerosol-2,True,29.0,25.1,"17,22",stretch_film,74,1091,2419,2,False,5.3,3238.406,8075.825436408977,False,True,3857.8700000000003,glass_jar
Toy,ToyLand,Remote Control Car,,27.9,8.0,"20,4",0.725,False,glass_jar,Corrosive-8,True,30.8,12.0,"10,63",corner_guard,75,1366,2428,2,False,20.4,4553.28,6280.386206896552,False,True,7539.84,glass_jar
Book,Classic,The Metamorphosis,,24.0,15.5,"3,3",0.96,False,plastic_box,Compressed_Gas-2,True,27.6,16.9,"11,68",air_cushion,76,1443,2179,3,False,3.3,1227.6,1278.75,False,True,1539.252,plastic_box
Phone,Samsung,Galaxy A34, 256GB Silver,16.9,9.0,"6,1",0.494,False,metal_box,Corrosive-8,False,0.0,0.0,,,77,1454,2434,2,False,6.1,927.81,1878.157894736842,False,True,0.0,metal_box
Shoes,Nike,Revolution, 39,32.9,19.7,"10,0",0.523,False,plastic_box,Flammable_Liquid-3,False,0.0,0.0,,,78,1427,2438,2,False,10.0,6481.3,12392.543021032505,False,True,0.0,plastic_box
Textile,SoftWear,Polar Jacket L,,19.5,22.5,"5,6",0.47,False,kraft_envelope,Flammable_Liquid-3,True,22.5,25.7,"13,17",foam_protector,79,1263,2452,2,False,5.6,2457.0,5227.659574468085,False,True,3238.2,kraft_envelope
Phone,Apple,iPhone 15,,16.3,10.9,"4,6",0.331,True,cardboard_box,Aerosol-2,False,0.0,0.0,,,80,1430,2458,3,False,4.6,817.282,2469.129909365559,True,True,0.0,cardboard_box
Phone,Samsung,Galaxy S24,,15.3,8.8,"5,3",0.618,False,cardboard_box,Flammable_Liquid-3,True,19.0,10.0,"7,94",bubble_wrap,81,1034,2460,1,False,5.3,713.5920000000001,1154.6796116504856,False,True,1007.0,cardboard_box
Appliance,Philips,Air Fryer XL,,39.2,25.2,"9,8",1.743,False,metal_box,Corrosive-8,True,42.7,26.7,"22,66",double_carton,82,1205,2469,2,False,9.8,9680.832,5554.120481927711,False,True,11172.882000000001,metal_box
Book,Classic,Madonna in a Fur Coat,,22.9,16.7,"2,7",0.689,True,cardboard_box,Compressed_Gas-2,True,25.3,17.8,"11,65",air_cushion,83,1080,2473,3,False,2.7,1032.561,1498.6371552975327,True,True,1215.9180000000001,cardboard_box
Food Jar,Anadolu,Pine Honey 1kg,,10.0,10.8,"16,6",1.545,False,poly_bag,Compressed_Gas-2,True,13.9,15.1,"7,65",foam_protector,84,1419,2476,3,False,16.6,1792.8000000000002,1160.3883495145633,False,True,3484.174,poly_bag
Textile,SoftWear,Polar Jacket L,,31.9,19.4,"6,1",0.398,False,poly_bag,Corrosive-8,True,35.6,22.4,"17,99",double_carton,85,1049,2483,2,False,6.1,3775.0459999999994,9485.040201005024,False,True,4864.383999999999,poly_bag
Phone,Samsung,Galaxy A34, 128GB Silver,14.8,9.3,"5,9",0.42,True,metal_box,Flammable_Liquid-3,True,16.9,11.6,"8,27",air_cushion,86,1359,2097,1,False,5.9,812.0760000000001,1933.5142857142862,True,True,1156.636,metal_box
Food Jar,Anadolu,Flower Honey 850g,,11.4,10.9,"18,9",1.206,False,metal_box,Flammable_Liquid-3,True,12.4,13.2,"8,29",double_carton,87,1387,2370,1,False,18.9,2348.514,1947.358208955224,False,True,3093.5519999999997,metal_box
Laptop,Lenovo,Yoga Slim 7, 128GB Graphite,35.3,24.4,"2,8",1.202,True,poly_bag,UN3481-Lithium_Ion_Battery,True,37.7,27.1,"19,9",bubble_wrap,88,1001,2488,1,False,2.8,2411.6959999999995,2006.402662229617,True,True,2860.6760000000004,poly_bag
Cosmetics,Lumine,Night Cream 50ml,,9.7,13.1,"8,4",0.339,False,glass_jar,Aerosol-2,True,12.4,15.7,"7,98",stretch_film,89,1389,2496,3,False,8.4,1067.388,3148.6371681415926,False,True,1635.3120000000001,glass_jar
Home Decor,HomeArt,Candle Set of 3,,30.2,26.1,"22,3",1.199,False,kraft_envelope,Corrosive-8,False,0.0,0.0,,,90,1053,2502,2,False,22.3,17577.306,14659.971643035862,False,True,0.0,kraft_envelope
Shoes,Nike,Downshifter, Black 38,35.6,21.0,"12,0",1.037,False,glass_jar,UN3481-Lithium_Ion_Battery,True,39.4,27.2,"20,84",air_cushion,91,1105,2512,2,False,12.0,8971.2,8651.108968177436,False,True,12860.159999999998,glass_jar
Textile,SoftWear,Polar Jacket L, 36,30.6,25.1,"4,6",0.277,False,plastic_box,UN3481-Lithium_Ion_Battery,True,32.2,27.4,"18,34",stretch_film,92,1259,2520,3,False,4.6,3533.076,12754.787003610107,False,True,4058.4880000000003,plastic_box
Phone,Samsung,Galaxy S24,,15.7,6.1,"4,4",0.267,True,plastic_box,Compressed_Gas-2,True,18.8,10.9,"7,57",air_cushion,93,1309,2525,2,False,4.4,421.38800000000003,1578.2322097378278,True,True,901.6480000000001,plastic_box
Home Decor,HomeArt,Candle Set of 3,,26.0,26.0,"17,8",1.803,False,poly_bag,Corrosive-8,False,0.0,0.0,,,94,1476,2541,2,False,17.8,12032.800000000001,6673.765945646146,False,True,0.0,poly_bag
Toy,ToyLand,Plush Bear 50cm,,24.7,17.6,"17,7",0.58,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,28.3,20.7,"13,69",air_cushion,95,1190,2544,1,False,17.7,7694.544,13266.455172413795,False,True,10368.836999999998,cardboard_box
Textile,SoftWear,Basic T-Shirt M, 38,25.7,21.9,"5,2",0.468,False,kraft_envelope,Corrosive-8,True,28.7,24.2,"15,31",foam_protector,96,1401,2552,2,False,5.2,2926.716,6253.666666666666,False,True,3611.6079999999997,kraft_envelope
Toy,ToyLand,Remote Control Car,,26.1,18.0,"15,6",1.584,True,kraft_envelope,UN3481-Lithium_Ion_Battery,True,27.9,21.7,"15,32",bubble_wrap,97,1217,2556,2,False,15.6,7328.88,4626.818181818182,True,True,9444.707999999999,kraft_envelope
Textile,SoftWear,Basic T-Shirt M, Grey,20.7,19.3,"5,3",0.312,False,metal_box,Compressed_Gas-2,False,0.0,0.0,,,98,1043,2563,3,False,5.3,2117.403,6786.548076923076,False,True,0.0,metal_box
Toy,ToyLand,Wooden Block Set 60 pcs,,26.1,24.7,"16,1",0.82,False,glass_jar,Compressed_Gas-2,True,30.4,28.3,"18,61",double_carton,99,1161,2569,3,False,16.1,10379.187000000002,12657.545121951222,False,True,13851.152,glass_jar
Shoes,Nike,InfinityRN, 37,30.2,24.4,"10,8",1.066,False,kraft_envelope,UN3481-Lithium_Ion_Battery,True,32.7,26.3,"17,42",double_carton,100,1201,2573,1,False,10.8,7958.304,7465.575984990619,False,True,9288.108000000002,kraft_envelope
Toy,ToyLand,Remote Control Car,,35.8,20.5,"20,2",0.896,False,cardboard_box,Aerosol-2,True,40.1,23.2,"19,11",double_carton,101,1445,2295,3,False,20.2,14824.779999999999,16545.51339285714,False,True,18792.464,cardboard_box
Book,Classic,Madonna in a Fur Coat,,29.1,14.0,"2,8",0.803,False,glass_jar,,False,0.0,0.0,,,102,1483,2581,1,False,2.8,1140.72,1420.5728518057285,False,False,0.0,glass_jar
Toy,ToyLand,Remote Control Car,,37.2,19.1,"16,3",1.055,False,glass_jar,UN3481-Lithium_Ion_Battery,True,40.9,21.3,"18,28",corner_guard,103,1269,2587,1,False,16.3,11581.476000000002,10977.70236966825,False,True,14200.071,glass_jar
Food Jar,Anadolu,Pine Honey 1kg,,9.8,12.5,"16,5",2.006,True,kraft_envelope,,False,0.0,0.0,,,104,1350,2590,2,False,16.5,2021.2500000000002,1007.602193419741,True,False,0.0,kraft_envelope
Book,Classic,Les Miserables,,21.9,16.9,"3,4",0.685,False,cardboard_box,Flammable_Liquid-3,True,24.2,20.6,"12,42",stretch_film,105,1303,2597,1,False,3.4,1258.3739999999998,1837.0423357664229,False,True,1694.968,cardboard_box
Laptop,Lenovo,IdeaPad 3, 256GB Black,26.9,25.9,"4,1",1.399,False,cardboard_box,Aerosol-2,False,0.0,0.0,,,106,1270,2019,2,False,4.1,2856.5109999999995,2041.823445318084,False,True,0.0,cardboard_box
Laptop,Lenovo,ThinkBook 14, 256GB Blue,45.8,20.7,"2,5",1.271,False,poly_bag,Compressed_Gas-2,False,0.0,0.0,,,107,1455,2600,1,False,2.5,2370.1499999999996,1864.7915027537372,False,True,0.0,poly_bag
Cosmetics,Lumine,Vitamin C Serum 30ml,,10.2,13.6,"11,2",0.268,True,poly_bag,,False,0.0,0.0,,,108,1461,2613,3,False,11.2,1553.664,5797.253731343283,True,False,0.0,poly_bag
Textile,SoftWear,Basic T-Shirt M, Black,34.5,18.8,"4,1",0.377,False,kraft_envelope,Compressed_Gas-2,False,0.0,0.0,,,109,1214,2064,3,False,4.1,2659.2599999999998,7053.740053050397,False,True,0.0,kraft_envelope
Appliance,Philips,Handheld Vacuum,,36.0,30.0,"8,1",1.627,False,metal_box,Corrosive-8,False,0.0,0.0,,,110,1251,2618,3,False,8.1,8748.0,5376.767055931162,False,True,0.0,metal_box
Cosmetics,Lumine,Night Cream 50ml,,12.3,13.1,"10,3",0.163,False,poly_bag,Corrosive-8,False,0.0,0.0,,,111,1189,2284,1,False,10.3,1659.6390000000001,10181.834355828221,False,True,0.0,poly_bag
Textile,SoftWear,Hoodie L, Red 40,22.3,20.4,"5,7",0.427,False,poly_bag,Flammable_Liquid-3,False,0.0,0.0,,,112,1295,2624,1,False,5.7,2593.044,6072.702576112412,False,True,0.0,poly_bag
