sku;category;brand;model;variant;width_cm;length_cm;height_cm;weight_kg;fragile;package_type;hazard_class;extra_package;extra_width_cm;extra_length_cm;extra_price_usd;extra_type
ADID-3E10A6;Shoes;Adidas;Runfalcon; Navy;30,7;22,0;13,2;1,466;False;rigid_box;Corrosive-8;True;32.8;24.4;16.5;foam_protector
ADID-3E3DC0;Shoes;Adidas;Runfalcon; Black 36;32,7;23,5;13,1;1,078;False;kraft_envelope;UN3481-Lithium_Ion_Battery;True;36.0;25.9;19.11;stretch_film
ADID-3F47A2;Shoes;Adidas;Superstar; Grey 38;30,3;22,9;11,8;1,133;False;rigid_box;Flammable_Liquid-3;True;33.7;25.5;17.96;stretch_film
ADID-3FB4F1;Shoes;Adidas;Ultraboost; Grey 38;28,4;20,3;12,6;0,688;False;rigid_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-408C32;Shoes;Adidas;Duramo; Navy;30,4;19,7;12,0;1,155;False;rigid_box;Compressed_Gas-2;True;33.5;22.6;16.2;air_cushion
ADID-41B15F;Shoes;Adidas;Ultraboost; 36;27,7;18,8;11,0;1,186;False;cardboard_box;Aerosol-2;True;30.7;20.7;14.03;bubble_wrap
ADID-42163C;Shoes;Adidas;Duramo; Grey 41;27,0;19,9;13,7;1,445;False;rigid_box;Flammable_Liquid-3;True;30.6;22.4;15.44;corner_guard
ADID-48067F;Shoes;Adidas;Runfalcon; White 37;28,5;19,4;13,0;0,958;False;metal_box;Flammable_Liquid-3;True;30.6;21.4;14.87;corner_guard
ADID-4ABB27;Shoes;Adidas;Grand Court; Navy 38;32,5;20,7;12,8;0,619;False;kraft_envelope;UN3481-Lithium_Ion_Battery;True;35.0;24.0;17.43;bubble_wrap
ADID-4CCB76;Shoes;Adidas;Duramo; 36;27,8;25,8;11,7;1,337;False;rigid_box;UN3481-Lithium_Ion_Battery;True;29.2;27.2;16.41;corner_guard
ADID-4E937D;Shoes;Adidas;Ultraboost; 37;28,2;23,0;13,1;0,944;False;kraft_envelope;Flammable_Liquid-3;False;;;;
ADID-507EC0;Shoes;Adidas;Grand Court; 36;28,6;19,4;8,0;1,082;False;plastic_box;UN3481-Lithium_Ion_Battery;False;30.2;25.9;16.88;corner_guard
ADID-51582B;Shoes;Adidas;Runfalcon; 42;30,2;18,7;11,2;1,044;False;plastic_box;Aerosol-2;False;32.7;27.8;18.72;double_carton
ADID-52AB69;Shoes;Adidas;Duramo; 41;30,4;20,5;11,2;0,95;False;glass_jar;Compressed_Gas-2;False;33.1;22.7;15.77;bubble_wrap
ADID-53A7C0;Shoes;Adidas;Grand Court; Navy;29,9;21,0;12,3;0,998;False;rigid_box;Flammable_Liquid-3;False;35.0;23.7;17.47;corner_guard
ADID-53AA98;Shoes;Adidas;Duramo; Navy 40;31,7;25,0;12,2;1,031;False;metal_box;UN3481-Lithium_Ion_Battery;False;30.2;26.6;16.55;bubble_wrap
ADID-55DB46;Shoes;Adidas;Runfalcon; Navy 41;29,6;21,6;11,9;1,33;True;rigid_box;Corrosive-8;True;30.9;24.6;15.9;double_carton
ADID-55DDF2;Shoes;Adidas;Duramo; Red;29,8;20,2;10,8;0,834;False;plastic_box;Compressed_Gas-2;True;34.9;21.9;17.85;double_carton
ADID-57E963;Shoes;Adidas;Runfalcon; Grey 41;30,6;17,9;12,0;1,291;False;cardboard_box;Compressed_Gas-2;False;;;;
ADID-5803D0;Shoes;Adidas;Runfalcon; Black 38;33,4;19,9;15,4;1,27;False;cardboard_box;Aerosol-2;False;;;;
ADID-591EB1;Shoes;Adidas;Superstar; 42;29,1;20,4;11,1;1,122;False;poly_bag;;False;;;;
ADID-59226D;Shoes;Adidas;Grand Court; Red 37;33,0;20,2;14,2;1,38;False;poly_bag;Aerosol-2;True;36.0;23.8;17.35;double_carton
ADID-59A58F;Shoes;Adidas;Superstar; 38;31,9;24,2;12,8;0,75;False;cardboard_box;Compressed_Gas-2;False;38.2;20.7;18.58;double_carton
ADID-59D40C;Shoes;Adidas;Ultraboost; White 37;33,3;24,7;12,2;1,132;False;metal_box;Compressed_Gas-2;False;;;;
ADID-59DB39;Shoes;Adidas;Grand Court; Black 37;34,5;20,7;11,7;0,773;False;glass_jar;Corrosive-8;True;39.6;23.9;20.71;bubble_wrap
ADID-5C77C5;Shoes;Adidas;Grand Court; Grey;28,4;20,1;12,7;0,935;False;metal_box;Aerosol-2;True;30.9;23.8;16.54;foam_protector
ADID-5C7C26;Shoes;Adidas;Duramo; Red 39;30,3;22,8;11,6;1,219;False;poly_bag;Corrosive-8;False;;;;
ADID-5D6008;Shoes;Adidas;Ultraboost; Grey 40;33,4;22,1;10,2;0,927;False;metal_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-621327;Shoes;Adidas;Grand Court; Grey 36;30,9;17,5;10,9;0,578;False;cardboard_box;UN3481-Lithium_Ion_Battery;False;29.7;25.9;16.04;foam_protector
ADID-62DF31;Shoes;Adidas;Superstar; Red;28,6;21,1;12,8;0,964;False;glass_jar;Flammable_Liquid-3;False;34.0;24.8;17.81;stretch_film
ADID-64C1EF;Shoes;Adidas;Grand Court; Red;38,2;22,4;8,9;0,69;False;metal_box;Aerosol-2;True;41.9;25.8;20.8;bubble_wrap
ADID-64C332;Shoes;Adidas;Superstar; Red 39;31,6;21,3;11,8;0,944;False;metal_box;Compressed_Gas-2;True;35.1;26.3;18.35;corner_guard
ADID-65A204;Shoes;Adidas;Duramo; 43;31,0;20,4;11,2;1,178;False;poly_bag;Aerosol-2;False;;;;
ADID-66D70D;Shoes;Adidas;Superstar; 41;27,6;20,5;12,7;0,944;False;rigid_box;Aerosol-2;True;30.8;24.5;16.2;bubble_wrap
ADID-69F739;Shoes;Adidas;Runfalcon; Grey 42;30,8;20,9;13,0;1,403;False;poly_bag;Compressed_Gas-2;False;;;;
ADID-6A04F1;Shoes;Adidas;Ultraboost; Red 41;33,1;19,9;10,1;0,788;False;metal_box;Flammable_Liquid-3;False;;;;
ADID-6AE755;Shoes;Adidas;Duramo; White 39;29,5;20,5;13,5;1,204;False;rigid_box;Compressed_Gas-2;False;33.7;21.4;16.56;air_cushion
ADID-6B746D;Shoes;Adidas;Runfalcon; Navy 39;33,1;21,1;12,3;0,817;False;plastic_box;Flammable_Liquid-3;False;;;;
ADID-6CBC85;Shoes;Adidas;Ultraboost; Grey 39;32,3;21,5;9,8;0,419;False;rigid_box;Aerosol-2;False;;;;
ADID-6CDEF5;Shoes;Adidas;Grand Court; White 40;32,1;24,0;10,5;1,314;False;glass_jar;Corrosive-8;True;37.4;26.7;19.48;double_carton
ADID-6D8B34;Shoes;Adidas;Superstar; Navy 38;32,6;19,7;13,1;0,764;False;kraft_envelope;Compressed_Gas-2;True;35.2;21.3;17.16;stretch_film
ADID-6DC189;Shoes;Adidas;Superstar; Grey;26,6;17,4;11,2;1,061;False;plastic_box;Aerosol-2;True;29.6;21.2;13.93;air_cushion
ADID-72070B;Shoes;Adidas;Ultraboost; Red;30,2;18,7;12,8;0,807;False;rigid_box;Aerosol-2;False;35.9;23.3;17.05;foam_protector
ADID-723971;Shoes;Adidas;Ultraboost; Black;36,4;21,4;9,2;1,423;False;cardboard_box;UN3481-Lithium_Ion_Battery;True;40.5;24.2;19.2;corner_guard
ADID-739853;Shoes;Adidas;Grand Court; 39;27,2;21,1;12,4;1,122;False;plastic_box;Flammable_Liquid-3;True;30.5;23.5;15.25;foam_protector
ADID-73C876;Shoes;Adidas;Grand Court; Black 41;28,6;22,8;12,9;1,153;False;rigid_box;Aerosol-2;True;30.5;25.8;17.21;stretch_film
ADID-73DAAD;Shoes;Adidas;Duramo; Navy 37;34,3;18,6;13,0;0,878;False;cardboard_box;Compressed_Gas-2;False;;;;
ADID-73E5E3;Shoes;Adidas;Superstar; Grey 42;34,1;23,8;12,1;1,279;False;cardboard_box;Corrosive-8;True;37.4;27.4;20.14;bubble_wrap
ADID-746C19;Shoes;Adidas;Superstar; Grey 40;27,0;21,5;12,3;0,865;False;glass_jar;Aerosol-2;False;;;;
ADID-748D83;Shoes;Adidas;Runfalcon; 39;30,0;19,7;12,5;1,127;False;metal_box;Flammable_Liquid-3;True;33.3;21.8;15.56;air_cushion
ADID-7492BD;Shoes;Adidas;Duramo; White 43;34,9;20,1;11,9;1,02;False;plastic_box;UN3481-Lithium_Ion_Battery;True;36.8;24.2;17.86;corner_guard
ADID-750C6C;Shoes;Adidas;Superstar; Black 38;32,7;20,1;13,2;0,929;False;poly_bag;UN3481-Lithium_Ion_Battery;True;37.5;23.8;18.16;foam_protector
ADID-75672E;Shoes;Adidas;Grand Court; Grey 42;32,2;17,9;11,4;0,999;False;rigid_box;Flammable_Liquid-3;True;35.6;21.0;16.49;foam_protector
ADID-79A9EB;Shoes;Adidas;Superstar; White;31,9;22,4;12,3;0,915;False;metal_box;Compressed_Gas-2;False;35.4;25.1;18.07;foam_protector
ADID-7B86EC;Shoes;Adidas;Runfalcon;;33,4;26,1;10,7;1,382;False;rigid_box;Aerosol-2;True;34.4;28.8;19.42;double_carton
ADID-7C924F;Shoes;Adidas;Runfalcon; Grey 43;29,9;21,1;10,3;0,832;False;poly_bag;Corrosive-8;True;33.8;26.5;17.94;corner_guard
ADID-7CB018;Shoes;Adidas;Ultraboost; Black 36;30,2;24,4;12,8;1,296;False;kraft_envelope;Compressed_Gas-2;False;;;;
ADID-7E218C;Shoes;Adidas;Ultraboost; 39;32,0;23,9;12,8;0,947;False;rigid_box;Compressed_Gas-2;False;;;;
ADID-7F6206;Shoes;Adidas;Grand Court; 43;36,9;23,6;13,3;0,823;False;poly_bag;Aerosol-2;False;32.5;26.2;17.27;air_cushion
ADID-802184;Shoes;Adidas;Runfalcon; White 40;31,2;19,6;13,4;1,318;False;rigid_box;Corrosive-8;True;34.6;22.2;16.56;double_carton
ADID-817834;Shoes;Adidas;Duramo; Navy 39;31,6;20,9;14,1;1,063;False;kraft_envelope;Aerosol-2;True;34.4;24.0;16.88;stretch_film
ADID-8411BB;Shoes;Adidas;Superstar; Black 41;34,9;20,8;8,6;1,229;False;glass_jar;UN3481-Lithium_Ion_Battery;True;38.6;24.4;18.63;air_cushion
ADID-853A3B;Shoes;Adidas;Ultraboost; Grey 41;31,3;19,7;12,3;1,25;False;kraft_envelope;Aerosol-2;False;;;;
ADID-854D43;Shoes;Adidas;Superstar; Navy 42;24,0;22,4;11,1;0,996;False;rigid_box;UN3481-Lithium_Ion_Battery;True;29.2;26.6;17.05;foam_protector
ADID-87DD20;Shoes;Adidas;Grand Court; Navy 39;34,6;22,3;14,2;1,22;False;poly_bag;Flammable_Liquid-3;False;34.6;24.4;17.38;double_carton
ADID-8A82EE;Shoes;Adidas;Duramo; 37;33,1;22,1;11,2;1,072;False;glass_jar;UN3481-Lithium_Ion_Battery;False;32.3;24.9;16.56;double_carton
ADID-8B0F80;Shoes;Adidas;Superstar; Navy 43;37,4;20,5;14,8;0,763;False;metal_box;Corrosive-8;True;40.8;24.7;19.62;corner_guard
ADID-8C8B50;Shoes;Adidas;Grand Court; Navy 41;31,2;20,1;12,4;1,266;False;plastic_box;Compressed_Gas-2;False;38.0;23.5;18.45;double_carton
ADID-900124;Shoes;Adidas;Duramo; White;31,5;25,0;13,3;1,009;False;rigid_box;Compressed_Gas-2;False;29.8;22.4;15.11;double_carton
ADID-914A37;Shoes;Adidas;Grand Court; Red 38;31,2;25,5;11,7;1,389;False;plastic_box;Flammable_Liquid-3;True;34.1;28.4;19.03;bubble_wrap
ADID-92C59F;Shoes;Adidas;Ultraboost; Black 37;29,0;20,6;10,4;0,975;False;kraft_envelope;Corrosive-8;False;;;;
ADID-93E0C0;Shoes;Adidas;Grand Court; White 39;27,7;23,2;11,9;0,985;False;plastic_box;Compressed_Gas-2;False;;;;
ADID-94441D;Shoes;Adidas;Grand Court; Red 36;30,1;21,6;13,1;1,25;False;cardboard_box;Compressed_Gas-2;True;34.3;24.1;17.56;bubble_wrap
ADID-9500A8;Shoes;Adidas;Duramo; Red 40;31,9;22,2;10,7;0,494;False;plastic_box;Aerosol-2;True;34.6;25.6;17.79;foam_protector
ADID-951F74;Shoes;Adidas;Grand Court; Red 42;33,3;16,2;13,4;0,856;False;plastic_box;Aerosol-2;False;32.9;22.4;16.34;stretch_film
ADID-96CF83;Shoes;Adidas;Ultraboost; Red 43;32,2;17,3;11,2;0,992;False;cardboard_box;UN3481-Lithium_Ion_Battery;True;34.4;21.0;16.34;double_carton
ADID-977A72;Shoes;Adidas;Grand Court; White 37;33,7;23,3;10,6;0,838;False;rigid_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-97CDCF;Shoes;Adidas;Ultraboost; Navy;30,7;19,1;9,4;0,98;False;kraft_envelope;Corrosive-8;False;31.9;24.0;16.32;stretch_film
ADID-989B43;Shoes;Adidas;Runfalcon; White 36;32,3;21,1;11,9;0,909;False;plastic_box;Aerosol-2;True;34.0;24.8;19.05;double_carton
ADID-99A7FC;Shoes;Adidas;Grand Court; White 38;28,4;20,3;10,9;0,797;False;rigid_box;Flammable_Liquid-3;False;;;;
ADID-99E947;Shoes;Adidas;Ultraboost; Red 37;28,3;23,1;13,9;0,983;False;cardboard_box;UN3481-Lithium_Ion_Battery;True;31.0;26.8;17.64;foam_protector
ADID-9ACB0F;Shoes;Adidas;Duramo; White 37;30,9;24,0;12,5;1,16;False;kraft_envelope;Corrosive-8;False;;;;
ADID-9B4324;Shoes;Adidas;Superstar; White 42;33,0;22,8;10,6;0,974;False;poly_bag;Corrosive-8;False;;;;
ADID-9B6B5D;Shoes;Adidas;Duramo; Red 38;31,3;16,3;13,3;1,191;False;cardboard_box;Compressed_Gas-2;True;34.5;19.4;14.54;foam_protector
ADID-9C6B0C;Shoes;Adidas;Superstar; Navy 41;30,5;21,5;14,0;1,07;False;glass_jar;Corrosive-8;True;33.2;24.9;16.9;stretch_film
ADID-9ED06E;Shoes;Adidas;Superstar; Grey 37;34,0;22,6;8,3;0,829;False;kraft_envelope;Corrosive-8;False;28.3;25.9;15.74;foam_protector
ADID-A09E89;Shoes;Adidas;Grand Court; Black 43;28,7;22,0;11,4;0,947;False;poly_bag;UN3481-Lithium_Ion_Battery;False;31.6;19.1;15.08;air_cushion
ADID-A513A6;Shoes;Adidas;Runfalcon; 41;31,4;22,9;10,2;1,319;False;plastic_box;Flammable_Liquid-3;True;34.3;25.5;17.77;corner_guard
ADID-A51735;Shoes;Adidas;Grand Court; Red 40;32,9;20,3;11,1;1,123;False;metal_box;Flammable_Liquid-3;True;36.0;23.4;17.26;foam_protector
ADID-A7FC86;Shoes;Adidas;Runfalcon; Grey;29,1;19,3;11,1;0,884;False;metal_box;Corrosive-8;False;;;;
ADID-A8AF45;Shoes;Adidas;Duramo; Red 42;29,8;21,5;11,4;0,768;False;metal_box;Flammable_Liquid-3;False;;;;
ADID-A9A8C6;Shoes;Adidas;Ultraboost; Grey 43;28,9;18,7;9,4;1,411;False;metal_box;Flammable_Liquid-3;True;31.6;22.1;15.73;stretch_film
ADID-AA32A7;Shoes;Adidas;Duramo; Grey 43;28,1;20,5;12,0;0,777;False;poly_bag;UN3481-Lithium_Ion_Battery;True;31.3;24.6;17.93;corner_guard
ADID-AB21EF;Shoes;Adidas;Duramo; Grey;32,9;22,7;11,9;1,391;False;plastic_box;Flammable_Liquid-3;True;37.8;26.8;20.63;air_cushion
ADID-ACEF98;Shoes;Adidas;Grand Court; Black 39;31,5;21,4;13,4;1,006;True;metal_box;Aerosol-2;True;35.6;23.0;17.24;double_carton
ADID-AD6BE2;Shoes;Adidas;Superstar; White 41;30,2;18,7;13,2;0,898;False;cardboard_box;UN3481-Lithium_Ion_Battery;False;31.3;23.5;16.07;bubble_wrap
ADID-ADA80D;Shoes;Adidas;Grand Court; Grey 41;32,2;20,9;10,1;1,404;False;glass_jar;Corrosive-8;True;34.9;24.1;17.12;stretch_film
ADID-B01E02;Shoes;Adidas;Ultraboost; Navy 38;35,1;21,6;11,4;1,025;False;rigid_box;UN3481-Lithium_Ion_Battery;False;32.1;20.3;14.78;corner_guard
ADID-B1E1FF;Shoes;Adidas;Superstar; Red 38;33,6;17,7;12,6;0,904;False;rigid_box;Flammable_Liquid-3;True;38.0;22.5;17.9;double_carton
ADID-B217F0;Shoes;Adidas;Ultraboost; White 40;32,4;17,5;10,7;0,96;False;poly_bag;Flammable_Liquid-3;True;35.6;20.7;15.59;bubble_wrap
ADID-B7D9B1;Shoes;Adidas;Ultraboost; Navy 37;33,9;21,1;11,5;0,668;False;cardboard_box;Aerosol-2;False;34.8;24.9;17.5;double_carton
ADID-BA4C18;Shoes;Adidas;Superstar; Black;32,0;21,6;11,7;1,228;False;kraft_envelope;Aerosol-2;True;36.0;23.4;18.33;stretch_film
ADID-BB6607;Shoes;Adidas;Superstar; Navy 39;30,0;20,4;12,0;1,187;False;cardboard_box;UN3481-Lithium_Ion_Battery;False;33.1;23.6;17.72;double_carton
ADID-BE0934;Shoes;Adidas;Duramo; White 38;32,9;23,8;13,7;1,505;False;kraft_envelope;Corrosive-8;True;37.4;26.9;19.59;foam_protector
ADID-BFE5B7;Shoes;Adidas;Runfalcon; Black 39;29,6;19,8;11,2;1,11;False;plastic_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-C11A75;Shoes;Adidas;Ultraboost; White 39;28,9;19,4;11,9;1,211;False;kraft_envelope;Corrosive-8;True;32.8;22.6;16.63;foam_protector
ADID-C134CA;Shoes;Adidas;Runfalcon; Red 39;28,9;21,2;11,9;1,169;False;metal_box;Flammable_Liquid-3;False;;;;
ADID-C28F86;Shoes;Adidas;Grand Court; White 36;32,9;19,9;15,2;1,404;False;rigid_box;Compressed_Gas-2;False;;;;
ADID-C2AFB0;Shoes;Adidas;Runfalcon; Grey 37;32,0;19,5;13,1;0,766;False;poly_bag;Compressed_Gas-2;True;34.8;21.8;17.61;air_cushion
ADID-C2E78B;Shoes;Adidas;Duramo; 42;31,6;18,7;11,9;0,85;False;plastic_box;Compressed_Gas-2;False;;;;
ADID-C342F0;Shoes;Adidas;Ultraboost; 42;27,7;21,1;12,2;1,047;False;plastic_box;Aerosol-2;True;31.7;22.4;16.26;corner_guard
ADID-C4F171;Shoes;Adidas;Superstar; Red 42;28,2;19,6;10,3;1,167;False;cardboard_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-C85214;Shoes;Adidas;Superstar; White 40;31,2;20,2;12,6;1,037;False;poly_bag;UN3481-Lithium_Ion_Battery;True;35.4;24.0;17.24;foam_protector
ADID-C947E3;Shoes;Adidas;Grand Court; Navy 42;27,4;23,8;12,9;1,435;False;plastic_box;UN3481-Lithium_Ion_Battery;True;29.3;28.5;18.99;stretch_film
ADID-CE103B;Shoes;Adidas;Runfalcon; White 42;31,7;22,6;11,3;1,159;False;poly_bag;Flammable_Liquid-3;False;;;;
ADID-CE56A2;Shoes;Adidas;Ultraboost; Black 41;33,3;19,1;10,0;1,051;False;poly_bag;Corrosive-8;True;36.0;22.0;17.16;stretch_film
ADID-CFD8F4;Shoes;Adidas;Runfalcon; 38;37,5;21,8;12,1;1,078;False;rigid_box;UN3481-Lithium_Ion_Battery;False;35.2;25.0;18.06;foam_protector
ADID-D03BC4;Shoes;Adidas;Runfalcon; Navy 40;31,9;17,2;10,9;1,445;False;metal_box;Compressed_Gas-2;True;33.5;18.8;14.31;bubble_wrap
ADID-D2A7B7;Shoes;Adidas;Superstar; Navy 36;31,8;20,8;11,1;0,887;False;kraft_envelope;Corrosive-8;True;34.7;23.5;17.34;bubble_wrap
