sku,box_id,utilization,price_try
SKU-000230,BOX-000054,0.3647,14.0
SKU-000231,BOX-000057,0.5058,51.0
SKU-000232,BOX-000054,0.5802,14.0
SKU-000233,BOX-000056,0.8117,26.0
SKU-000234,BOX-000051,0.59,41.31
SKU-000235,BOX-000057,0.5378,51.0
SKU-000236,BOX-000056,0.2433,26.0
SKU-000237,BOX-000056,0.7472,26.0
SKU-000238,BOX-000039,0.5459,68.98
SKU-000239,BOX-000036,0.5609,54.82
SKU-000240,BOX-000015,0.5571,42.25
SKU-000241,BOX-000038,0.6664,50.12
SKU-000242,BOX-000036,0.5083,54.82
SKU-000243,BOX-000056,0.7038,26.0
SKU-000244,BOX-000057,0.6514,51.0
SKU-000245,BOX-000015,0.3208,42.25
SKU-000246,BOX-000042,0.4386,40.82
SKU-000247,BOX-000012,0.1525,26.72
SKU-000248,BOX-000013,0.3688,31.79
SKU-000249,BOX-000036,0.6683,54.82
SKU-000250,BOX-000036,0.4727,54.82
SKU-000251,BOX-000016,0.5482,28.46
SKU-000252,BOX-000012,0.1494,26.72
SKU-000253,BOX-000057,0.4222,51.0
SKU-000254,BOX-000054,0.3605,14.0
SKU-000255,BOX-000013,0.5727,31.79
SKU-000256,BOX-000006,0.782,32.14
SKU-000257,BOX-000054,0.5168,14.0
SKU-000258,BOX-000036,0.7791,54.82
SKU-000259,BOX-000013,0.5311,31.79
SKU-000260,BOX-000037,0.4787,60.41
SKU-000261,BOX-000016,0.767,28.46
SKU-000262,BOX-000049,0.3348,20.25
SKU-000263,BOX-000056,0.8172,26.0
SKU-000264,BOX-000015,0.6076,42.25
SKU-000265,BOX-000054,0.3445,14.0
SKU-000266,BOX-000054,0.3004,14.0
SKU-000267,BOX-000012,0.2089,26.72
SKU-000268,BOX-000012,0.4442,26.72
SKU-000269,BOX-000034,0.5765,20.66
SKU-000270,BOX-000012,0.2737,26.72
SKU-000271,BOX-000053,0.2895,68.04
SKU-000272,BOX-000035,0.4008,33.29
SKU-000273,BOX-000015,0.1207,42.25
SKU-000274,BOX-000006,0.7073,32.14
SKU-000275,BOX-000035,0.3674,33.29
SKU-000276,BOX-000052,0.4422,42.31
SKU-000277,BOX-000013,0.264,31.79
SKU-000278,BOX-000056,0.8047,26.0
SKU-000279,BOX-000056,0.7379,26.0
SKU-000280,BOX-000013,0.3974,31.79
SKU-000281,BOX-000015,0.4052,42.25
SKU-000282,BOX-000057,0.481,51.0
SKU-000283,BOX-000012,0.3431,26.72
SKU-000284,BOX-000056,0.4357,26.0
SKU-000285,BOX-000056,0.61,26.0
SKU-000286,BOX-000015,0.4969,42.25
SKU-000287,BOX-000054,0.583,14.0
SKU-000288,BOX-000012,0.3786,26.72
SKU-000289,BOX-000044,0.4483,17.58
SKU-000290,BOX-000055,0.5336,20.0
SKU-000291,BOX-000057,0.5755,51.0
SKU-000292,BOX-000054,0.5369,14.0
SKU-000293,BOX-000012,0.4899,26.72
SKU-000294,BOX-000057,0.5096,51.0
SKU-000295,BOX-000015,0.505,42.25
SKU-000296,BOX-000054,0.387,14.0
SKU-000297,BOX-000034,0.636,20.66
SKU-000298,BOX-000054,0.2513,14.0
SKU-000299,BOX-000012,0.4994,26.72
SKU-000300,BOX-000035,0.4189,33.29
SKU-000301,BOX-000056,0.7597,26.0
SKU-000302,BOX-000056,0.7704,26.0
SKU-000303,BOX-000036,0.4647,54.82
SKU-000304,BOX-000034,0.6301,20.66
SKU-000305,BOX-000054,0.2535,14.0
SKU-000306,BOX-000036,0.5647,54.82
SKU-000307,BOX-000035,0.424,33.29
SKU-000308,BOX-000035,0.4428,33.29
SKU-000309,BOX-000042,0.3785,40.82
SKU-000310,BOX-000005,0.6956,29.45
SKU-000311,BOX-000049,0.4825,20.25
SKU-000312,BOX-000054,0.4329,14.0
SKU-000313,BOX-000035,0.4474,33.29
SKU-000314,BOX-000044,0.5332,17.58
SKU-000315,BOX-000012,0.1931,26.72
SKU-000316,BOX-000036,0.5267,54.82
SKU-000317,BOX-000054,0.4389,14.0
SKU-000318,BOX-000013,0.2939,31.79
SKU-000319,BOX-000036,0.4353,54.82
SKU-000320,BOX-000057,0.4769,51.0
SKU-000321,BOX-000016,0.5895,28.46
SKU-000322,BOX-000057,0.5148,51.0
SKU-000323,BOX-000035,0.3961,33.29
SKU-000324,BOX-000057,0.4481,51.0
SKU-000325,BOX-000015,0.3964,42.25
SKU-000326,,0.0,
SKU-000327,BOX-000049,0.2282,20.25
SKU-000328,BOX-000036,0.4543,54.82
SKU-000329,BOX-000049,0.4761,20.25
SKU-000330,BOX-000035,0.7205,33.29
SKU-000331,BOX-000015,0.2737,42.25
SKU-000332,BOX-000049,0.2914,20.25
SKU-000333,BOX-000035,0.3904,33.29
SKU-000334,BOX-000036,0.5627,54.82
SKU-000335,BOX-000036,0.4367,54.82
SKU-000336,BOX-000058,0.4306,72.0
SKU-000337,BOX-000035,0.3664,33.29
SKU-000338,BOX-000057,0.5935,51.0
SKU-000339,BOX-000012,0.5255,26.72
SKU-000340,BOX-000057,0.4273,51.0
SKU-000341,BOX-000054,0.1747,14.0
SKU-000342,BOX-000013,0.3969,31.79
SKU-000343,BOX-000052,0.4117,42.31
SKU-000344,BOX-000012,0.2327,26.72
SKU-000345,BOX-000056,0.8429,26.0
SKU-000346,BOX-000016,0.3363,28.46
SKU-000347,BOX-000057,0.4007,51.0
SKU-000348,BOX-000056,0.6925,26.0
SKU-000349,BOX-000015,0.4052,42.25
SKU-000350,BOX-000055,0.5458,20.0
SKU-000351,BOX-000015,0.3766,42.25
SKU-000352,BOX-000002,0.7218,15.49
SKU-000353,BOX-000049,0.4903,20.25
SKU-000354,BOX-000035,0.3663,33.29
SKU-000355,BOX-000049,0.259,20.25
SKU-000356,BOX-000042,0.3751,40.82
SKU-000357,BOX-000057,0.4554,51.0
SKU-000358,BOX-000036,0.745,54.82
SKU-000359,BOX-000054,0.2876,14.0
SKU-000360,BOX-000036,0.5233,54.82
SKU-000361,BOX-000054,0.2865,14.0
SKU-000362,BOX-000036,0.5758,54.82
SKU-000363,BOX-000051,0.3719,41.31
SKU-000364,BOX-000054,0.4585,14.0
SKU-000365,BOX-000057,0.4806,51.0
SKU-000366,BOX-000035,0.4464,33.29
SKU-000367,BOX-000017,0.4878,45911.0
SKU-000368,BOX-000057,0.1449,51.0
SKU-000369,BOX-000056,0.7264,26.0
SKU-000370,BOX-000013,0.3471,31.79
SKU-000371,BOX-000056,0.852,26.0
SKU-000372,BOX-000035,0.481,33.29
SKU-000373,BOX-000056,0.7649,26.0
SKU-000374,BOX-000051,0.6796,41.31
SKU-000375,BOX-000054,0.2147,14.0
SKU-000376,BOX-000056,0.6395,26.0
SKU-000377,BOX-000035,0.4106,33.29
SKU-000378,BOX-000056,0.7371,26.0
SKU-000379,BOX-000054,0.59,14.0
SKU-000380,BOX-000005,0.3998,29.45
SKU-000381,BOX-000054,0.194,14.0
SKU-000382,BOX-000056,0.8106,26.0
SKU-000383,BOX-000035,0.3683,33.29
SKU-000384,BOX-000035,0.3173,33.29
SKU-000385,BOX-000049,0.447,20.25
SKU-000386,BOX-000023,0.2824,45983.0
SKU-000387,BOX-000019,0.9151,45893.0
SKU-000388,BOX-000056,0.8223,26.0
SKU-000389,BOX-000037,0.6569,60.41
SKU-000390,BOX-000056,0.7745,26.0
SKU-000391,BOX-000056,0.7111,26.0
SKU-000392,BOX-000023,0.233,45983.0
SKU-000393,BOX-000036,0.642,54.82
SKU-000394,BOX-000056,0.7602,26.0
SKU-000395,BOX-000015,0.5523,42.25
SKU-000396,BOX-000035,0.3405,33.29
SKU-000397,BOX-000013,0.4901,31.79
SKU-000398,BOX-000034,0.5971,20.66
SKU-000399,BOX-000035,0.3438,33.29
SKU-000400,BOX-000015,0.201,42.25
SKU-000401,BOX-000017,0.4788,45911.0
SKU-000402,BOX-000054,0.2969,14.0
SKU-000403,BOX-000054,0.3654,14.0
SKU-000404,BOX-000054,0.5886,14.0
SKU-000405,BOX-000057,0.3673,51.0
SKU-000406,BOX-000054,0.249,14.0
SKU-000407,BOX-000016,0.8134,28.46
SKU-000408,BOX-000051,0.2908,41.31
SKU-000409,BOX-000052,0.5086,42.31
SKU-000410,BOX-000056,0.7598,26.0
SKU-000411,BOX-000056,0.6538,26.0
SKU-000412,BOX-000035,0.656,33.29
SKU-000413,BOX-000015,0.417,42.25
SKU-000414,BOX-000035,0.4033,33.29
SKU-000415,BOX-000056,0.6635,26.0
SKU-000416,BOX-000012,0.5743,26.72
SKU-000417,BOX-000036,0.6579,54.82
SKU-000418,BOX-000035,0.3182,33.29
SKU-000419,BOX-000012,0.15,26.72
SKU-000420,BOX-000035,0.3624,33.29
SKU-000421,BOX-000054,0.4084,14.0
SKU-000422,BOX-000056,0.7312,26.0
SKU-000423,BOX-000056,0.7568,26.0
SKU-000424,BOX-000015,0.4298,42.25
SKU-000425,BOX-000013,0.7135,31.79
SKU-000426,BOX-000049,0.2968,20.25
SKU-000427,BOX-000037,0.465,60.41
SKU-000428,BOX-000036,0.63,54.82
SKU-000429,BOX-000015,0.5288,42.25
SKU-000430,BOX-000049,0.295,20.25
SKU-000431,BOX-000054,0.2604,14.0
SKU-000432,BOX-000056,0.5825,26.0
SKU-000433,BOX-000054,0.3716,14.0
SKU-000434,BOX-000051,0.4157,41.31
SKU-000435,BOX-000052,0.6069,42.31
SKU-000436,BOX-000054,0.2357,14.0
SKU-000437,BOX-000017,0.4535,45911.0
SKU-000438,BOX-000015,0.4083,42.25
SKU-000439,BOX-000012,0.4475,26.72
SKU-000440,BOX-000056,0.6447,26.0
SKU-000441,BOX-000054,0.4002,14.0
SKU-000442,BOX-000049,0.645,20.25
SKU-000443,BOX-000035,0.3694,33.29
SKU-000444,BOX-000051,0.6647,41.31
SKU-000445,BOX-000035,0.3197,33.29
SKU-000446,BOX-000012,0.2445,26.72
SKU-000447,BOX-000015,0.364,42.25
SKU-000448,BOX-000017,0.5974,45911.0
SKU-000449,BOX-000042,0.3539,40.82
SKU-000450,BOX-000054,0.2745,14.0
SKU-000451,BOX-000056,0.7485,26.0
SKU-000452,BOX-000057,0.4317,51.0
SKU-000453,BOX-000015,0.425,42.25
SKU-000454,BOX-000035,0.4197,33.29
SKU-000455,BOX-000015,0.3987,42.25
SKU-000456,BOX-000013,0.3231,31.79
SKU-000457,BOX-000012,0.2557,26.72
SKU-000458,BOX-000015,0.5216,42.25
SKU-000459,BOX-000056,0.6968,26.0
SKU-000460,BOX-000036,0.6118,54.82
SKU-000461,BOX-000057,0.5478,51.0
SKU-000462,BOX-000036,0.4677,54.82
SKU-000463,BOX-000057,0.5683,51.0
SKU-000464,BOX-000013,0.4578,31.79
SKU-000465,BOX-000057,0.3941,51.0
SKU-000466,BOX-000034,0.4987,20.66
SKU-000467,BOX-000035,0.3349,33.29
SKU-000468,BOX-000054,0.2296,14.0
SKU-000469,BOX-000035,0.7084,33.29
SKU-000470,BOX-000056,0.566,26.0
SKU-000471,BOX-000036,0.4543,54.82
SKU-000472,BOX-000036,0.3743,54.82
SKU-000473,BOX-000054,0.688,14.0
SKU-000474,BOX-000012,0.2458,26.72
SKU-000475,BOX-000037,0.5723,60.41
SKU-000476,BOX-000052,0.4841,42.31
SKU-000477,BOX-000036,0.5369,54.82
SKU-000478,BOX-000055,0.6162,20.0
SKU-000479,BOX-000054,0.3532,14.0
SKU-000480,BOX-000013,0.3238,31.79
SKU-000481,BOX-000035,0.3933,33.29
SKU-000482,BOX-000002,0.5359,15.49
SKU-000483,BOX-000015,0.2532,42.25
SKU-000484,BOX-000013,0.3196,31.79
SKU-000485,BOX-000054,0.2993,14.0
SKU-000486,BOX-000015,0.5062,42.25
SKU-000487,BOX-000056,0.7312,26.0
SKU-000488,BOX-000034,0.5946,20.66
SKU-000489,BOX-000049,0.3093,20.25
SKU-000490,BOX-000053,0.2361,68.04
SKU-000491,BOX-000057,0.5672,51.0
SKU-000492,BOX-000054,0.32,14.0
SKU-000493,BOX-000013,0.2825,31.79
SKU-000494,BOX-000036,0.5178,54.82
SKU-000495,BOX-000054,0.333,14.0
SKU-000496,BOX-000012,0.2345,26.72
SKU-000497,BOX-000036,0.3235,54.82
SKU-000498,BOX-000036,0.4798,54.82
SKU-000499,BOX-000052,0.6116,42.31
SKU-000500,BOX-000054,0.2766,14.0
SKU-000501,BOX-000042,0.4586,40.82
SKU-000502,BOX-000057,0.5294,51.0
SKU-000503,BOX-000034,0.47,20.66
SKU-000504,BOX-000054,0.702,14.0
SKU-000505,BOX-000035,0.3532,33.29
SKU-000506,BOX-000036,0.4167,54.82
SKU-000507,BOX-000035,0.6818,33.29
SKU-000508,BOX-000054,0.3038,14.0
SKU-000509,BOX-000036,0.496,54.82
SKU-000510,BOX-000035,0.4321,33.29
SKU-000511,BOX-000016,0.7624,28.46
SKU-000512,BOX-000019,0.632,45893.0
SKU-000513,BOX-000015,0.3958,42.25
SKU-000514,BOX-000057,0.6042,51.0
SKU-000515,BOX-000054,0.4347,14.0
SKU-000516,BOX-000057,0.4081,51.0
SKU-000517,BOX-000036,0.5054,54.82
SKU-000518,BOX-000013,0.282,31.79
SKU-000519,BOX-000054,0.5939,14.0
SKU-000520,BOX-000057,0.5702,51.0
SKU-000521,BOX-000044,0.4812,17.58
SKU-000522,BOX-000056,0.7258,26.0
SKU-000523,BOX-000054,0.5699,14.0
SKU-000524,BOX-000049,0.4139,20.25
SKU-000525,BOX-000036,0.5566,54.82
SKU-000526,BOX-000012,0.4892,26.72
SKU-000527,BOX-000039,0.4513,68.98
SKU-000528,BOX-000005,0.665,29.45
SKU-000529,BOX-000057,0.4837,51.0
SKU-000530,BOX-000054,0.2639,14.0
SKU-000531,BOX-000054,0.4142,14.0
SKU-000532,BOX-000015,0.5416,42.25
SKU-000533,BOX-000054,0.2688,14.0
SKU-000534,BOX-000013,0.3415,31.79
SKU-000535,BOX-000023,0.1861,45983.0
SKU-000536,BOX-000006,0.8517,32.14
SKU-000537,BOX-000042,0.4101,40.82
SKU-000538,BOX-000042,0.1607,40.82
SKU-000539,BOX-000013,0.492,31.79
SKU-000540,BOX-000015,0.3837,42.25
SKU-000541,BOX-000057,0.6026,51.0
SKU-000542,BOX-000052,0.5322,42.31
SKU-000543,BOX-000057,0.7167,51.0
SKU-000544,BOX-000057,0.4892,51.0
SKU-000545,BOX-000056,0.7571,26.0
SKU-000546,BOX-000035,0.5019,33.29
SKU-000547,BOX-000056,0.5683,26.0
SKU-000548,BOX-000015,0.46,42.25
SKU-000549,BOX-000056,0.5863,26.0
SKU-000550,BOX-000057,0.5236,51.0
SKU-000551,BOX-000057,0.4525,51.0
SKU-000552,BOX-000013,0.2423,31.79
SKU-000553,BOX-000034,0.6624,20.66
SKU-000554,BOX-000051,0.6418,41.31
SKU-000555,BOX-000057,0.5861,51.0
SKU-000556,BOX-000057,0.3767,51.0
SKU-000557,BOX-000054,0.214,14.0
SKU-000558,BOX-000054,0.3336,14.0
SKU-000559,BOX-000015,0.4237,42.25
SKU-000560,BOX-000035,0.3945,33.29
SKU-000561,BOX-000037,0.4882,60.41
SKU-000562,BOX-000054,0.3214,14.0
SKU-000563,BOX-000012,0.1517,26.72
SKU-000564,BOX-000003,0.4796,26.52
SKU-000565,BOX-000017,0.6259,45911.0
SKU-000566,BOX-000023,0.232,45983.0
SKU-000567,BOX-000013,0.3789,31.79
SKU-000568,BOX-000052,0.3345,42.31
SKU-000569,BOX-000003,0.6655,26.52
SKU-000570,BOX-000054,0.2985,14.0
SKU-000571,BOX-000013,0.3092,31.79
SKU-000572,BOX-000056,0.4982,26.0
SKU-000573,BOX-000042,0.523,40.82
SKU-000574,BOX-000013,0.276,31.79
SKU-000575,BOX-000055,0.4644,20.0
SKU-000576,BOX-000012,0.2292,26.72
SKU-000577,BOX-000054,0.5772,14.0
SKU-000578,BOX-000012,0.3691,26.72
SKU-000579,BOX-000037,0.4957,60.41
SKU-000580,BOX-000054,0.354,14.0
SKU-000581,BOX-000035,0.4691,33.29
SKU-000582,BOX-000056,0.6218,26.0
SKU-000583,BOX-000054,0.199,14.0
SKU-000584,BOX-000035,0.3441,33.29
SKU-000585,BOX-000054,0.2312,14.0
SKU-000586,BOX-000057,0.318,51.0
SKU-000587,BOX-000035,0.3377,33.29
SKU-000588,BOX-000013,0.9602,31.79
SKU-000589,BOX-000013,0.3734,31.79
SKU-000590,BOX-000003,0.5747,26.52
SKU-000591,BOX-000042,0.3823,40.82
SKU-000592,BOX-000057,0.4808,51.0
SKU-000593,BOX-000056,0.6392,26.0
SKU-000594,BOX-000044,0.093,17.58
SKU-000595,BOX-000057,0.4549,51.0
SKU-000596,BOX-000012,0.2234,26.72
SKU-000597,BOX-000012,0.2404,26.72
SKU-000598,BOX-000054,0.2887,14.0
SKU-000599,BOX-000015,0.3905,42.25
SKU-000600,BOX-000054,0.4725,14.0
SKU-000601,BOX-000056,0.6513,26.0
SKU-000602,BOX-000054,0.2913,14.0
SKU-000603,BOX-000054,0.3611,14.0
SKU-000604,BOX-000013,0.2751,31.79
SKU-000605,BOX-000054,0.3451,14.0
SKU-000606,BOX-000052,0.4238,42.31
SKU-000607,BOX-000035,0.4019,33.29
SKU-000608,BOX-000035,0.4841,33.29
SKU-000609,BOX-000055,0.3612,20.0
SKU-000610,BOX-000057,0.5095,51.0
