sku,width_mm,length_mm,height_mm,weight_g,fragile,packaging_type,hazmat_class,extra_pack,extra_pack_width_mm,extra_pack_length_mm,extra_pack_price_try,extra_pack_type
SKU-000086,148.0,93.0,59.0,420.0,True,metal_box,Flammable_Liquid-3,True,169.0,116.0,8.27,air_cushion
SKU-000087,114.0,109.0,189.0,1206.0,False,metal_box,Flammable_Liquid-3,True,124.0,132.0,8.29,double_carton
SKU-000088,353.0,244.0,28.0,1202.0,True,poşet,UN3481-Lithium_Ion_Battery,True,377.0,271.0,19.9,bubble_wrap
SKU-000089,97.0,131.0,84.0,339.0,False,kavanoz,Aerosol-2,True,124.0,157.0,7.98,stretch_film
SKU-000090,302.0,261.0,223.0,1199.0,False,zarf,Corrosive-8,False,,,,
SKU-000091,356.0,210.0,120.0,1037.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,394.0,272.0,20.84,air_cushion
SKU-000092,306.0,251.0,46.0,277.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,322.0,274.0,18.34,stretch_film
SKU-000093,157.0,61.0,44.0,267.0,True,plastic_box,Compressed_Gas-2,True,188.0,109.0,7.57,air_cushion
SKU-000094,260.0,260.0,178.0,1803.0,False,poşet,Corrosive-8,False,,,,
SKU-000095,247.0,176.0,177.0,580.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,283.0,207.0,13.69,air_cushion
SKU-000096,257.0,219.0,52.0,468.0,False,zarf,Corrosive-8,True,287.0,242.0,15.31,foam_protector
SKU-000097,261.0,180.0,156.0,1584.0,True,zarf,UN3481-Lithium_Ion_Battery,True,279.0,217.0,15.32,bubble_wrap
SKU-000098,207.0,193.0,53.0,312.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-000099,261.0,247.0,161.0,820.0,False,kavanoz,Compressed_Gas-2,True,304.0,283.0,18.61,double_carton
SKU-000100,302.0,244.0,108.0,1066.0,False,zarf,UN3481-Lithium_Ion_Battery,True,327.0,263.0,17.42,double_carton
SKU-000101,358.0,205.0,202.0,896.0,False,cardboard_box,Aerosol-2,True,401.0,232.0,19.11,double_carton
SKU-000102,291.0,140.0,28.0,803.0,False,kavanoz,,False,,,,
SKU-000103,372.0,191.0,163.0,1055.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,409.0,213.0,18.28,corner_guard
SKU-000104,98.0,125.0,165.0,2005.9999999999998,True,zarf,,False,,,,
SKU-000105,219.0,169.0,34.0,685.0,False,cardboard_box,Flammable_Liquid-3,True,242.0,206.0,12.42,stretch_film
SKU-000106,269.0,259.0,41.0,1399.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-000107,458.0,207.0,25.0,1271.0,False,poşet,Compressed_Gas-2,False,,,,
SKU-000108,102.0,136.0,112.0,268.0,True,poşet,,False,,,,
SKU-000109,345.0,188.0,41.0,377.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-000110,360.0,300.0,81.0,1627.0,False,metal_box,Corrosive-8,False,,,,
SKU-000111,123.0,131.0,103.0,163.0,False,poşet,Corrosive-8,False,,,,
SKU-000112,223.0,204.0,57.0,427.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-000113,296.0,257.0,45.0,443.0,True,kutu,Compressed_Gas-2,True,325.0,284.0,19.58,double_carton
SKU-000114,330.0,283.0,10.0,2007.0000000000002,False,kutu,Aerosol-2,True,345.0,334.0,22.85,bubble_wrap
SKU-000115,327.0,361.0,108.0,2709.0,False,kutu,Flammable_Liquid-3,True,353.0,371.0,24.14,double_carton
SKU-000116,282.0,217.0,126.0,1140.0,False,poşet,Aerosol-2,False,,,,
SKU-000117,381.0,242.0,107.0,1897.0,False,kavanoz,Aerosol-2,False,,,,
SKU-000118,111.0,151.0,90.0,429.0,True,cardboard_box,Compressed_Gas-2,False,,,,
SKU-000119,308.0,175.0,129.0,952.0,False,plastic_box,Corrosive-8,True,336.0,215.0,16.88,air_cushion
SKU-000120,334.0,261.0,107.0,1382.0,False,kutu,Aerosol-2,True,344.0,288.0,19.42,double_carton
SKU-000121,125.0,132.0,203.0,1200.0,True,kavanoz,Compressed_Gas-2,False,,,,
SKU-000122,158.0,66.0,46.0,374.0,True,zarf,Flammable_Liquid-3,True,191.0,97.0,8.07,air_cushion
SKU-000123,265.0,208.0,55.0,606.0,False,poşet,Corrosive-8,False,,,,
SKU-000124,199.0,179.0,34.0,694.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-000125,173.0,81.0,63.0,324.0,False,zarf,Flammable_Liquid-3,True,223.0,115.0,9.32,bubble_wrap
SKU-000126,399.0,215.0,86.0,2868.0,True,plastic_box,Compressed_Gas-2,True,433.0,229.0,19.73,foam_protector
SKU-000127,160.0,79.0,48.0,431.0,True,kutu,,True,190.0,124.0,8.65,foam_protector
SKU-000128,294.0,116.0,189.0,723.0,False,kavanoz,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000129,106.0,129.0,152.0,967.0,True,plastic_box,Aerosol-2,True,147.0,160.0,8.57,foam_protector
SKU-000130,127.0,116.0,170.0,1196.0,False,metal_box,Aerosol-2,False,,,,
SKU-000131,125.0,112.0,99.0,353.0,True,cardboard_box,UN3481-Lithium_Ion_Battery,True,156.0,128.0,7.84,corner_guard
SKU-000132,229.0,162.0,41.0,50.0,False,cardboard_box,Compressed_Gas-2,True,245.0,187.0,11.59,foam_protector
SKU-000133,158.0,83.0,57.0,292.0,False,metal_box,Aerosol-2,True,177.0,126.0,9.01,double_carton
SKU-000134,325.0,248.0,32.0,2220.0,True,kutu,,True,362.0,285.0,20.32,bubble_wrap
SKU-000135,288.0,196.0,215.0,737.0,False,poşet,Corrosive-8,True,313.0,215.0,14.86,air_cushion
SKU-000136,329.0,227.0,119.0,1391.0,False,plastic_box,Flammable_Liquid-3,True,378.0,268.0,20.63,air_cushion
SKU-000137,353.0,279.0,87.0,2995.0,True,metal_box,Flammable_Liquid-3,True,387.0,306.0,22.26,air_cushion
SKU-000138,232.0,174.0,134.0,1034.0,False,plastic_box,Aerosol-2,True,242.0,210.0,13.39,double_carton
SKU-000139,116.0,120.0,85.0,204.0,False,poşet,,False,,,,
SKU-000140,330.0,177.0,63.0,685.0,False,poşet,Corrosive-8,True,361.0,210.0,17.37,bubble_wrap
SKU-000141,97.0,110.0,82.0,229.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-000142,298.0,202.0,95.0,2188.0,False,cardboard_box,Flammable_Liquid-3,True,314.0,239.0,17.6,foam_protector
SKU-000143,133.0,110.0,81.0,465.0,False,kutu,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000144,315.0,250.0,133.0,1008.9999999999999,False,kutu,Compressed_Gas-2,False,,,,
SKU-000145,106.0,110.0,179.0,1008.0,True,metal_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000146,343.0,211.0,127.0,1368.0,False,kutu,UN3481-Lithium_Ion_Battery,True,376.0,242.0,19.18,air_cushion
SKU-000147,232.0,216.0,125.0,933.0,False,kutu,Flammable_Liquid-3,True,266.0,250.0,14.7,bubble_wrap
SKU-000148,392.0,267.0,32.0,1862.0,True,cardboard_box,Compressed_Gas-2,True,412.0,288.0,22.33,bubble_wrap
SKU-000149,380.0,247.0,77.0,2870.0,True,cardboard_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000150,263.0,174.0,53.0,812.0,False,plastic_box,Flammable_Liquid-3,True,318.0,200.0,15.46,double_carton
SKU-000151,283.0,251.0,66.0,712.0,False,plastic_box,Flammable_Liquid-3,True,295.0,285.0,17.98,stretch_film
SKU-000152,382.0,305.0,95.0,2824.0,False,metal_box,Corrosive-8,True,406.0,319.0,24.14,air_cushion
SKU-000153,251.0,232.0,69.0,608.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-000154,230.0,218.0,226.0,754.0,False,metal_box,Aerosol-2,True,266.0,238.0,14.05,bubble_wrap
SKU-000155,109.0,126.0,174.0,969.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-000156,285.0,220.0,147.0,956.0,False,cardboard_box,,False,,,,
SKU-000157,260.0,183.0,215.0,657.0,False,metal_box,Compressed_Gas-2,True,289.0,225.0,14.25,foam_protector
SKU-000158,216.0,164.0,21.0,850.0,True,cardboard_box,Corrosive-8,True,249.0,187.0,11.48,corner_guard
SKU-000159,113.0,222.0,136.0,281.0,False,zarf,Aerosol-2,False,,,,
SKU-000160,251.0,217.0,66.0,761.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-000161,355.0,254.0,41.0,1885.0,True,plastic_box,,False,,,,
SKU-000162,157.0,108.0,41.0,216.0,True,zarf,UN3481-Lithium_Ion_Battery,True,184.0,134.0,9.29,corner_guard
SKU-000163,254.0,167.0,225.0,674.0,False,plastic_box,Corrosive-8,True,292.0,183.0,12.98,corner_guard
SKU-000164,103.0,114.0,71.0,263.0,True,poşet,UN3481-Lithium_Ion_Battery,True,142.0,141.0,8.36,foam_protector
SKU-000165,252.0,197.0,16.0,967.0,False,kutu,Flammable_Liquid-3,True,294.0,219.0,14.16,bubble_wrap
SKU-000166,230.0,184.0,175.0,282.0,False,poşet,Corrosive-8,False,,,,
SKU-000167,411.0,224.0,102.0,838.0,True,cardboard_box,Corrosive-8,True,442.0,267.0,23.15,double_carton
SKU-000168,100.0,116.0,126.0,337.0,False,cardboard_box,Compressed_Gas-2,True,132.0,150.0,8.14,corner_guard
SKU-000169,173.0,238.0,189.0,1087.0,False,cardboard_box,Corrosive-8,True,204.0,248.0,13.08,air_cushion
SKU-000170,267.0,159.0,25.0,588.0,False,poşet,Corrosive-8,False,,,,
SKU-000171,160.0,207.0,194.0,477.0,False,metal_box,Flammable_Liquid-3,True,196.0,231.0,12.04,bubble_wrap
SKU-000172,366.0,212.0,20.0,1863.0,True,metal_box,UN3481-Lithium_Ion_Battery,True,400.0,222.0,18.01,air_cushion
SKU-000173,310.0,222.0,42.0,576.0,False,kavanoz,,False,,,,
SKU-000174,312.0,248.0,120.0,2201.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-000175,166.0,187.0,158.0,1128.0,False,zarf,Compressed_Gas-2,True,196.0,209.0,11.93,corner_guard
SKU-000176,314.0,292.0,55.0,597.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,346.0,312.0,20.92,air_cushion
SKU-000177,160.0,62.0,55.0,454.0,True,zarf,Flammable_Liquid-3,True,193.0,86.0,8.15,double_carton
SKU-000178,122.0,135.0,107.0,305.0,False,plastic_box,Aerosol-2,False,,,,
SKU-000179,292.0,187.0,31.0,758.0,False,kutu,Corrosive-8,False,,,,
SKU-000180,228.0,217.0,192.0,1389.0,False,cardboard_box,Flammable_Liquid-3,False,,,,
SKU-000181,143.0,80.0,68.0,521.0,True,kutu,Corrosive-8,True,171.0,111.0,7.35,bubble_wrap
SKU-000182,141.0,86.0,51.0,529.0,False,cardboard_box,Aerosol-2,True,174.0,114.0,8.31,double_carton
SKU-000183,254.0,243.0,175.0,867.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-000184,293.0,199.0,72.0,332.0,False,kavanoz,Flammable_Liquid-3,True,313.0,219.0,15.57,double_carton
SKU-000185,237.0,205.0,199.0,1248.0,False,plastic_box,Compressed_Gas-2,True,248.0,225.0,14.18,foam_protector
SKU-000186,356.0,198.0,112.0,1187.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000187,133.0,75.0,50.0,359.0,False,zarf,Corrosive-8,True,166.0,116.0,8.18,foam_protector
SKU-000188,288.0,156.0,239.0,743.0,False,poşet,Corrosive-8,True,337.0,189.0,14.49,bubble_wrap
SKU-000189,241.0,164.0,30.0,706.0,False,cardboard_box,Corrosive-8,False,,,,
SKU-000190,104.0,135.0,149.0,283.0,True,kavanoz,Flammable_Liquid-3,True,140.0,159.0,7.84,corner_guard
SKU-000191,278.0,177.0,111.0,1132.0,False,plastic_box,Compressed_Gas-2,True,311.0,217.0,15.94,double_carton
SKU-000192,119.0,110.0,173.0,1168.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,143.0,128.0,8.11,stretch_film
SKU-000193,194.0,154.0,183.0,669.0,False,cardboard_box,Flammable_Liquid-3,True,222.0,183.0,10.76,corner_guard
SKU-000194,149.0,99.0,64.0,211.0,False,zarf,Corrosive-8,False,,,,
SKU-000195,294.0,207.0,126.0,1289.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-000196,254.0,196.0,39.0,202.0,False,cardboard_box,Compressed_Gas-2,False,,,,
SKU-000197,320.0,216.0,117.0,1228.0,False,zarf,Aerosol-2,True,360.0,234.0,18.33,stretch_film
SKU-000198,164.0,57.0,32.0,305.0,True,poşet,Corrosive-8,True,197.0,98.0,8.9,stretch_film
SKU-000199,96.0,117.0,83.0,295.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-000200,315.0,198.0,148.0,1207.0,False,kutu,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000201,304.0,176.0,113.0,549.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-000202,267.0,239.0,195.0,856.0,False,cardboard_box,Corrosive-8,True,311.0,260.0,16.9,foam_protector
SKU-000203,350.0,265.0,35.0,2080.0,False,poşet,Compressed_Gas-2,False,,,,
SKU-000204,293.0,207.0,101.0,1344.0,False,zarf,,False,,,,
SKU-000205,372.0,264.0,29.0,1459.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-000206,312.0,228.0,54.0,1584.0,True,metal_box,Flammable_Liquid-3,True,350.0,261.0,18.2,corner_guard
SKU-000207,321.0,226.0,69.0,534.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-000208,244.0,225.0,53.0,332.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000209,264.0,191.0,125.0,1048.0,False,zarf,Compressed_Gas-2,True,298.0,224.0,15.11,double_carton
SKU-000210,129.0,152.0,96.0,244.0,True,cardboard_box,Compressed_Gas-2,True,169.0,165.0,9.46,air_cushion
SKU-000211,340.0,251.0,34.0,1601.0,False,zarf,Compressed_Gas-2,True,369.0,290.0,20.55,corner_guard
SKU-000212,120.0,112.0,160.0,1285.0,True,zarf,Compressed_Gas-2,False,,,,
SKU-000213,286.0,217.0,58.0,486.0,False,zarf,Flammable_Liquid-3,False,,,,
SKU-000214,137.0,144.0,71.0,314.0,False,zarf,UN3481-Lithium_Ion_Battery,True,158.0,168.0,9.07,stretch_film
SKU-000215,105.0,113.0,112.0,228.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-000216,382.0,209.0,24.0,1418.0,True,kutu,UN3481-Lithium_Ion_Battery,True,411.0,225.0,19.75,foam_protector
SKU-000217,174.0,90.0,63.0,645.0,False,metal_box,UN3481-Lithium_Ion_Battery,True,199.0,106.0,7.72,bubble_wrap
SKU-000218,108.0,133.0,78.0,537.0,False,cardboard_box,Compressed_Gas-2,True,146.0,169.0,8.66,stretch_film
SKU-000219,315.0,222.0,126.0,905.0,False,zarf,Flammable_Liquid-3,False,,,,
SKU-000220,214.0,171.0,58.0,283.0,False,metal_box,Flammable_Liquid-3,True,236.0,203.0,12.79,bubble_wrap
SKU-000221,316.0,183.0,59.0,742.0,False,cardboard_box,Flammable_Liquid-3,True,348.0,203.0,15.96,foam_protector
SKU-000222,294.0,216.0,94.0,1165.0,False,kutu,UN3481-Lithium_Ion_Battery,True,342.0,251.0,18.3,stretch_film
SKU-000223,108.0,130.0,172.0,1364.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-000224,125.0,129.0,196.0,1623.0,False,plastic_box,Compressed_Gas-2,True,170.0,153.0,9.67,double_carton
SKU-000225,352.0,219.0,27.0,1530.0,False,cardboard_box,Corrosive-8,True,392.0,232.0,18.14,air_cushion
SKU-000226,99.0,120.0,177.0,1020.9999999999999,False,metal_box,Corrosive-8,True,141.0,151.0,8.02,bubble_wrap
SKU-000227,300.0,207.0,73.0,419.0,False,kutu,Compressed_Gas-2,True,324.0,247.0,17.27,stretch_film
SKU-000228,133.0,146.0,105.0,339.0,False,poşet,Corrosive-8,False,,,,
SKU-000229,298.0,268.0,190.0,727.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-000230,153.0,110.0,65.0,314.0,True,plastic_box,Compressed_Gas-2,True,163.0,141.0,8.02,stretch_film
SKU-000231,316.0,193.0,141.0,1010.0,False,plastic_box,Corrosive-8,False,,,,
SKU-000232,118.0,99.0,149.0,983.0,False,plastic_box,Flammable_Liquid-3,True,147.0,139.0,9.99,foam_protector
SKU-000233,308.0,229.0,117.0,1177.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-000234,303.0,249.0,40.0,1467.0,False,metal_box,Flammable_Liquid-3,True,332.0,276.0,18.3,foam_protector
SKU-000235,332.0,201.0,137.0,1274.0,False,zarf,,False,,,,
SKU-000236,339.0,228.0,32.0,1805.0,True,metal_box,,False,,,,
SKU-000237,303.0,218.0,115.0,1134.0,True,kutu,Compressed_Gas-2,True,352.0,262.0,19.62,foam_protector
SKU-000238,273.0,313.0,230.0,764.0,False,kavanoz,Corrosive-8,False,,,,
SKU-000239,270.0,230.0,147.0,1288.0,False,cardboard_box,Compressed_Gas-2,True,289.0,260.0,16.52,air_cushion
SKU-000240,318.0,241.0,71.0,386.0,False,cardboard_box,Flammable_Liquid-3,False,,,,
SKU-000241,278.0,218.0,228.0,1367.0,True,cardboard_box,UN3481-Lithium_Ion_Battery,True,316.0,257.0,17.73,double_carton
SKU-000242,285.0,177.0,164.0,932.0,False,kutu,UN3481-Lithium_Ion_Battery,True,313.0,208.0,15.27,air_cushion
SKU-000243,308.0,202.0,115.0,1300.0,True,kavanoz,Aerosol-2,False,,,,
SKU-000244,388.0,142.0,201.0,805.0,False,zarf,Aerosol-2,False,,,,
SKU-000245,266.0,187.0,63.0,318.0,False,kutu,UN3481-Lithium_Ion_Battery,True,291.0,214.0,15.11,air_cushion
SKU-000246,395.0,253.0,106.0,1810.0,False,plastic_box,Aerosol-2,False,,,,
SKU-000247,125.0,70.0,46.0,554.0,True,zarf,Aerosol-2,True,159.0,93.0,7.43,foam_protector
SKU-000248,296.0,157.0,30.0,621.0,False,metal_box,UN3481-Lithium_Ion_Battery,True,333.0,183.0,15.14,foam_protector
